Timestamp	Battery	Time_ms	Q0	Q1	Q2	Q3	Acc_X	Acc_Y	Acc_Z	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8
2025-02-28 13:57:19	218	282676	3561974528	4051223952	736286528	4176204464	4018	630	-180	995	855	1265	840	1575	1180	20475	20475
2025-02-28 13:57:19	216	282901	3560408320	4056015216	737525760	4184096056	3990	648	-180	975	845	1270	840	1580	1175	20475	20475
2025-02-28 13:57:20	214	283013	3560098368	4058061984	738174528	4186093072	3980	668	-202	980	840	1265	835	1580	1180	20475	20475
2025-02-28 13:57:20	220	283126	3559356672	4059015088	738096512	4188531408	3980	660	-168	980	840	1270	830	1590	1165	20475	20475
2025-02-28 13:57:20	213	283238	3559427328	4061268576	739163840	4190495816	3998	652	-182	970	840	1290	885	1635	1170	20475	20475
2025-02-28 13:57:20	216	283463	3557619520	4067283184	739743936	4194126928	3976	646	-156	970	835	1285	835	1665	1170	20475	20475
2025-02-28 13:57:20	215	283576	3557183296	4070099536	740708352	4198156720	3974	672	-166	960	830	1275	870	1650	1175	20475	20475
2025-02-28 13:57:20	213	283689	3556078400	4073941504	740972928	4199775824	3984	666	-150	960	830	1280	870	1635	1170	20475	20475
2025-02-28 13:57:21	215	284026	3543871808	4078817392	730671296	4204602672	3940	740	-12	960	810	1715	840	2340	1255	20475	20475
2025-02-28 13:57:21	216	284251	3542864960	4085790384	732402432	4210792264	3994	654	-48	960	815	1500	795	2010	1220	20475	20475
2025-02-28 13:57:21	214	284825	3544925824	4104348624	741056064	4225325376	3974	612	-50	955	825	1385	875	1870	1210	20475	20475
2025-02-28 13:57:22	216	285276	3545516864	4115012688	745725824	4242573104	3978	692	-126	945	820	1345	810	1785	1190	20475	20475
2025-02-28 13:57:22	218	285726	3545025536	4125224752	748358272	4254390316	3976	678	-80	940	820	1305	795	1720	1175	20475	20475
2025-02-28 13:57:22	213	285951	3543984512	4131975952	749082496	4259671384	3986	676	-92	940	815	1305	805	1710	1170	20475	20475
2025-02-28 13:57:23	216	286176	3543360320	4139077760	750232576	4265841164	3982	658	-122	945	815	1285	810	1675	1170	20475	20475
2025-02-28 13:57:23	216	286401	3542905536	4145473824	751309184	4272582220	3966	680	-88	945	815	1275	800	1660	1175	20475	20475
